"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1307","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-15 02:07:45","TRUE","6","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1308","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-15 02:05:06","TRUE","6","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1309","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-15 02:05:04","TRUE","6","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1310","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-15 02:04:10","TRUE","6","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1311","DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames ","2020-12-15 02:04:05","FALSE","6","7","0","Apple iPhone","Los Angeles","USA",TRUE
"1312","@brasheim @TIDAL Yeah the fact that I have an iPhone keeps me going back to Apple Music. Interconnectivity is key","2020-12-15 01:57:47","FALSE","0","1","0","Apple iPhone","Los Angeles","USA",FALSE
"1313","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-15 01:57:29","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1314","RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi","2020-12-15 01:56:40","TRUE","7","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1315","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-15 01:44:02","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"1316","Apple to investigate iPhone manufacturer in India after workers vandalize plant in a protest over unpaid wages  ","2020-12-15 01:41:41","FALSE","0","1","-1","Apple iPhone","Los Angeles","USA",FALSE
"1317","Im getting tired of all these iPhone updates. Stop it @Apple ","2020-12-15 01:29:25","FALSE","0","1","-1","Apple iPhone","Los Angeles","USA",FALSE
"1318","RT @BumpitOrDumpitF: Only the Top Voted Artists will Advance to the @TrendCityRadio Top40

App VOTES ONLY

Download our App Now &amp; Vo","2020-12-15 00:54:42","TRUE","4","0","2","Apple iPhone","Los Angeles","USA",TRUE
